Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time,Comment
2020-10-12,Chin up Suppinated,Biceps,7.5,12,,,,""
2020-10-12,Close Grip Barbell Bench Press,Triceps,50.0,20,,,,""
2020-10-12,Chin up Suppinated,Biceps,5.0,15,,,,""
2020-10-12,EZ-Bar Skullcrusher,Triceps,30.0,16,,,,""
2020-10-12,Reverse Grip EZ-bar Curl,Biceps,30.0,12,,,,""
2020-10-12,EZ-Bar Skullcrusher,Triceps,35.0,15,,,,""
2020-10-12,Reverse Grip EZ-bar Curl,Biceps,35.0,11,,,,""
2020-10-12,EZ-Bar Skullcrusher,Triceps,37.5,12,,,,""
2020-10-12,Reverse Grip EZ-bar Curl,Biceps,37.5,10,,,,""
2020-10-12,EZ-Bar Skullcrusher,Triceps,35.0,20,,,,""
2020-10-12,Reverse Grip EZ-bar Curl,Biceps,35.0,12,,,,""
